character,angle,attribute,value
aavatar,pose,casualtee,super
aavatar,pose,casualtee,thinking
aavatar,pose,casualtee,thumbsup
aavatar,pose,casualtee,yuhoo
aavatar,pose,formal,explaining
aavatar,pose,formal,explaining45degreesdown
aavatar,pose,formal,explaining45degreesup
aavatar,pose,formal,explainingwithbothhands
aavatar,pose,formal,handsclasped
aavatar,pose,formal,handstouchingchin
aavatar,pose,formal,holdingboard
aavatar,pose,formal,holdingbook
aavatar,pose,formal,holdingstick
aavatar,pose,formal,normal
aavatar,pose,formal,pointingleft
aavatar,pose,formalsuit,handsfolded
aavatar,pose,formalsuit,handsheldback
aavatar,pose,formalsuit,handsinpocket
aavatar,pose,formalsuit,handsonhip
aavatar,pose,formalsuit,holdingbook
aavatar,pose,formalsuit,holdingcoffee
aavatar,pose,formalsuit,holdinglaptop
aavatar,pose,formalsuit,holdingmobile
aavatar,pose,formalsuit,holdingumbrella
aavatar,pose,formalsuit,pointing45degree
aavatar,pose,formalsuit,pointingright
aavatar,pose,formalsuit,pointingup
aavatar,pose,formalsuit,readingpaper
aavatar,pose,formalsuit,shrug
aavatar,pose,formalsuit,super
aavatar,pose,formalsuit,thinking
aavatar,pose,formalsuit,thumbsup
aavatar,pose,formalsuit,yuhoo
aavatar,pose,fullsleeveshirt,angry
aavatar,pose,fullsleeveshirt,handsfolded
aavatar,pose,fullsleeveshirt,handsinpocket
aavatar,pose,fullsleeveshirt,handsonhip
aavatar,pose,fullsleeveshirt,holdingbook
aavatar,pose,fullsleeveshirt,holdingcoffee
aavatar,pose,fullsleeveshirt,holdinglaptop
aavatar,pose,fullsleeveshirt,holdingmobile
aavatar,pose,fullsleeveshirt,holdingumbrella
aavatar,pose,fullsleeveshirt,pointingright
aavatar,pose,fullsleeveshirt,pointingup
aavatar,pose,fullsleeveshirt,readingpaper
aavatar,pose,fullsleeveshirt,ridingbicycle
aavatar,pose,fullsleeveshirt,ridingbike
aavatar,pose,fullsleeveshirt,run
aavatar,pose,fullsleeveshirt,shrug
aavatar,pose,fullsleeveshirt,sittingatdesk
aavatar,pose,fullsleeveshirt,sittingatdeskhandsspread
aavatar,pose,fullsleeveshirt,sittingatdeskholdingmobile
aavatar,pose,fullsleeveshirt,sittingonbeanbagexplaining
aavatar,pose,fullsleeveshirt,sittingonbeanbagholdinglaptop
aavatar,pose,fullsleeveshirt,sittingonfloorexplaining
aavatar,pose,fullsleeveshirt,sittingonfloorholdinglaptop
aavatar,pose,fullsleeveshirt,sittingonthefloorshrug
aavatar,pose,fullsleeveshirt,super
aavatar,pose,fullsleeveshirt,thinking
aavatar,pose,fullsleeveshirt,thumbsup
aavatar,pose,fullsleeveshirt,yuhoo
aavatar,pose,saree,angry
aavatar,pose,saree,explaining
aavatar,pose,saree,handsfolded
aavatar,pose,saree,handsonhip
aavatar,pose,saree,hi
aavatar,pose,saree,holdingcoffee
aavatar,pose,saree,normal
aavatar,pose,saree,pointingup
aavatar,pose,saree,readingpaper
aavatar,pose,saree,shrug
aavatar,pose,saree,super
aavatar,pose,saree,thumbsup
aavatar,pose,stickfigure,angry
aavatar,pose,stickfigure,handsfolded
aavatar,pose,stickfigure,handsheldback
aavatar,pose,stickfigure,handsonhip
aavatar,pose,stickfigure,holdingbook
aavatar,pose,stickfigure,holdinglaptop
aavatar,pose,stickfigure,pointingright
aavatar,pose,stickfigure,pointingup
aavatar,pose,stickfigure,readingpaper
aavatar,pose,stickfigure,super
aavatar,pose,stickfigure,thinking
aavatar,pose,stickfigure,thumbsup
aavatar,pose,stickfigure,yuhoo
aavatar,pose,tuckedinshirt,dance
aavatar,pose,tuckedinshirt,handsclasped
aavatar,pose,tuckedinshirt,handsfolded
aavatar,pose,tuckedinshirt,handsinpocket
aavatar,pose,tuckedinshirt,handsonhead
aavatar,pose,tuckedinshirt,handsonhip
aavatar,pose,tuckedinshirt,holdingbag
aavatar,pose,tuckedinshirt,leaning
aavatar,pose,tuckedinshirt,superman
aavatar,pose,uniform,angry
aavatar,pose,uniform,handsfolded
aavatar,pose,uniform,handsheldback
aavatar,pose,uniform,handsonhip
aavatar,pose,uniform,holdingbook
aavatar,pose,uniform,holdingcoffee
aavatar,pose,uniform,holdinglaptop
aavatar,pose,uniform,holdingmobile
aavatar,pose,uniform,holdingumbrella
aavatar,pose,uniform,pointingleft
aavatar,pose,uniform,pointingright
aavatar,pose,uniform,pointingup
aavatar,pose,uniform,readingpaper
aavatar,pose,uniform,ridingbicycle
aavatar,pose,uniform,ridingbike
aavatar,pose,uniform,shrug
aavatar,pose,uniform,sittingatdesk
aavatar,pose,uniform,sittingonbeanbagholdinglaptop
aavatar,pose,uniform,sittingonbeanbagholdingmobile
aavatar,pose,uniform,sittingonfloorexplaining
aavatar,pose,uniform,sittingonfloorholdinglaptop
aavatar,pose,uniform,sittingonfloorshrug
aavatar,pose,uniform,super
aavatar,pose,uniform,thinking
aavatar,pose,uniform,thumbsup
aavatar,pose,uniform,yuhoo
aryan,,emotion,angry
aryan,,emotion,blush
aryan,,emotion,confused
aryan,,emotion,cry
aryan,,emotion,hmm
aryan,,emotion,laugh
aryan,,emotion,loudcry
aryan,,emotion,sad
aryan,,emotion,shocked
aryan,,emotion,smile
aryan,,emotion,wink
aryan,,emotion,worried
aryan,,pose,handsfolded
aryan,,pose,handsinpocket
ava,,emotion,angry
ava,,emotion,annoyed
ava,,emotion,blush
ava,,emotion,cry
ava,,emotion,curious
ava,,emotion,hmm
ava,,emotion,lookingdown
ava,,emotion,lookingup
ava,,emotion,normal
ava,,emotion,sad
ava,,emotion,shocked
ava,,emotion,shout
ava,,emotion,smile
ava,,emotion,tired
ava,,emotion,wink
ava,,emotion,worried
ava,,emotion,yuhoo
ava,,pose,angry
ava,,pose,handsfolded
ava,,pose,handsheldback
ava,,pose,handsonhip
ava,,pose,holdingbook
ava,,pose,holdinglaptop
ava,,pose,pointingright
ava,,pose,pointingup
ava,,pose,readingpaper
ava,,pose,super
ava,,pose,thinking
ava,,pose,thumbsup
ava,,pose,yuhoo
bean,side,emotion,angry
bean,side,emotion,annoyed
bean,side,emotion,blush
bean,side,emotion,cry
bean,side,emotion,curious
bean,side,emotion,hmm
bean,side,emotion,lookingdown
bean,side,emotion,lookingup
bean,side,emotion,neutral
bean,side,emotion,sad
bean,side,emotion,shocked
bean,side,emotion,shout
bean,side,emotion,smile
bean,side,emotion,tired
bean,side,emotion,wink
bean,side,emotion,worried
bean,side,emotion,yuhoo
bean,side,pose,angry
bean,side,pose,handsfolded
bean,side,pose,handsonhip
bean,side,pose,holdingbook
bean,side,pose,holdinglaptop
bean,side,pose,pointingright
bean,side,pose,pointingup
bean,side,pose,readingpaper
bean,side,pose,shrug
bean,side,pose,super
bean,side,pose,thinking
bean,side,pose,thumbsup
bean,side,pose,yuhoo
bean,straight,emotion,angry
bean,straight,emotion,annoyed
bean,straight,emotion,blush
bean,straight,emotion,cry
bean,straight,emotion,curious
bean,straight,emotion,hmm
bean,straight,emotion,lookingdown
bean,straight,emotion,lookingup
bean,straight,emotion,neutral
bean,straight,emotion,sad
bean,straight,emotion,shout
bean,straight,emotion,smile
bean,straight,emotion,tired
bean,straight,emotion,wink
bean,straight,emotion,worried
bean,straight,emotion,yuhoo
bean,straight,pose,angry
bean,straight,pose,handsfolded
bean,straight,pose,handsonhip
bean,straight,pose,holdingbook
bean,straight,pose,holdinglaptop
bean,straight,pose,pointingright
bean,straight,pose,pointingup
bean,straight,pose,readingpaper
bean,straight,pose,shrug
bean,straight,pose,super
bean,straight,pose,thinking
bean,straight,pose,thumbsup
bean,straight,pose,yuhoo
biden,,emotion,angry
biden,,emotion,confused
biden,,emotion,dozing
biden,,emotion,facewithmask
biden,,emotion,happy
biden,,emotion,laugh
biden,,emotion,nervoussmile
biden,,emotion,rofl
biden,,emotion,rollingeyes
biden,,emotion,sad
biden,,emotion,shocked
biden,,emotion,shout
biden,,emotion,tired
biden,,emotion,worried
biden,,pose,clapping
biden,,pose,handonhip
biden,,pose,handsfolded
biden,,pose,handsinpocket
biden,,pose,handsonhip
biden,,pose,holdingicecream
biden,,pose,holdinglaptop
biden,,pose,holdingmobile
biden,,pose,makingapoint
biden,,pose,makingapointwithconfidence
biden,,pose,pointing45degrees
biden,,pose,pointingatyou
biden,,pose,pointingright
biden,,pose,pointingup
biden,,pose,readingpaper
biden,,pose,shrug
biden,,pose,thinking
biden,,pose,thumbsup
biden,,pose,walkingfast
biden,,pose,waving
biden,,pose,yuhoo
bill,,emotion,afraid
bill,,emotion,angry
bill,,emotion,confused
bill,,emotion,cry
bill,,emotion,cunning
bill,,emotion,curious
bill,,emotion,dozing
bill,,emotion,excited
bill,,emotion,happy
bill,,emotion,hmm
bill,,emotion,irritated
bill,,emotion,laugh
bill,,emotion,neutral
bill,,emotion,ooh
bill,,emotion,rofl
bill,,emotion,rollingeyes
bill,,emotion,sad
bill,,emotion,shocked
bill,,emotion,shout
bill,,emotion,smile
bill,,emotion,smirk
bill,,emotion,surprised
bill,,emotion,tired
bill,,emotion,wink
bill,,emotion,worried
bill,,pose,handsfolded
bill,,pose,handsheldback
bill,,pose,handsinpocket
bill,,pose,handsonhip
bill,,pose,holdingbook
bill,,pose,holdingcoffee
bill,,pose,holdinglaptop
bill,,pose,holdingmobile
bill,,pose,holdingumbrella
bill,,pose,pointing45degree
bill,,pose,pointingright
bill,,pose,pointingup
bill,,pose,readingpaper
bill,,pose,shrug
bill,,pose,super
bill,,pose,thinking
bill,,pose,thumbsup
bill,,pose,yuhoo
dee,side,emotion,afraid
dee,side,emotion,angry
dee,side,emotion,confused
dee,side,emotion,cry
dee,side,emotion,cunning
dee,side,emotion,curious
dee,side,emotion,dozing
dee,side,emotion,excited
dee,side,emotion,happy
dee,side,emotion,hmm
dee,side,emotion,irritated
dee,side,emotion,laugh
dee,side,emotion,neutral
dee,side,emotion,ooh
dee,side,emotion,rofl
dee,side,emotion,rollingeyes
dee,side,emotion,sad
dee,side,emotion,shocked
dee,side,emotion,shout
dee,side,emotion,smile
dee,side,emotion,smirk
dee,side,emotion,surprised
dee,side,emotion,tired
dee,side,emotion,wink
dee,side,emotion,worried
dee,side,pose,explaining
dee,side,pose,handsfolded
dee,side,pose,handsinpocket
dee,side,pose,holdingcoffee
dee,side,pose,holdinglaptop
dee,side,pose,holdingmobile
dee,side,pose,pointingright
dee,side,pose,pointingup
dee,side,pose,readingpaper
dee,side,pose,rightturn
dee,side,pose,shrug
dee,sitting,emotion,afraid
dee,sitting,emotion,angry
dee,sitting,emotion,confused
dee,sitting,emotion,cry
dee,sitting,emotion,cunning
dee,sitting,emotion,curious
dee,sitting,emotion,dozing
dee,sitting,emotion,excited
dee,sitting,emotion,happy
dee,sitting,emotion,hmm
dee,sitting,emotion,irritated
dee,sitting,emotion,laugh
dee,sitting,emotion,neutral
dee,sitting,emotion,ooh
dee,sitting,emotion,rofl
dee,sitting,emotion,rollingeyes
dee,sitting,emotion,sad
dee,sitting,emotion,shocked
dee,sitting,emotion,shout
dee,sitting,emotion,smile
dee,sitting,emotion,smirk
dee,sitting,emotion,surprised
dee,sitting,emotion,tired
dee,sitting,emotion,wink
dee,sitting,emotion,worried
dee,sitting,pose,ridingbicycle
dee,sitting,pose,ridingbike
dee,sitting,pose,sittingatdesk
dee,sitting,pose,sittingatdeskhandsspread
dee,sitting,pose,sittingatdeskholdingmobile
dee,sitting,pose,sittingonbeanbagholdinglaptop
dee,sitting,pose,sittingonbeanbagholdingmobile
dee,sitting,pose,sittingonthefloorexplaining
dee,sitting,pose,sittingonthefloorholdinglaptop
dee,sitting,pose,sittingonthefloorshrug
dee,straight,emotion,afraid
dee,straight,emotion,angry
dee,straight,emotion,annoyed
dee,straight,emotion,confused
dee,straight,emotion,cry
dee,straight,emotion,cryingloudly
dee,straight,emotion,cunning
dee,straight,emotion,curious
dee,straight,emotion,dozing
dee,straight,emotion,excited
dee,straight,emotion,hmm
dee,straight,emotion,irritated
dee,straight,emotion,laugh
dee,straight,emotion,lookingleft
dee,straight,emotion,lookingright
dee,straight,emotion,lookingup
dee,straight,emotion,neutral
dee,straight,emotion,ooh
dee,straight,emotion,rofl
dee,straight,emotion,rollingeyes
dee,straight,emotion,sad
dee,straight,emotion,shocked
dee,straight,emotion,shout
dee,straight,emotion,smile
dee,straight,emotion,smirk
dee,straight,emotion,surprised
dee,straight,emotion,tired
dee,straight,emotion,wink
dee,straight,emotion,worried
dee,straight,pose,handsfolded
dee,straight,pose,handsheldback
dee,straight,pose,handsinpocket
dee,straight,pose,handsonhip
dee,straight,pose,holdingbook
dee,straight,pose,holdingcoffee
dee,straight,pose,holdinglaptop
dee,straight,pose,holdingmobile
dee,straight,pose,holdingumbrella
dee,straight,pose,pointing45degree
dee,straight,pose,pointingright
dee,straight,pose,pointingup
dee,straight,pose,readingpaper
dee,straight,pose,shrug
dee,straight,pose,super
dee,straight,pose,thinking
dee,straight,pose,thumbsup
dee,straight,pose,yuhoo
deenuova,side,emotion,afraid
deenuova,side,emotion,angry
deenuova,side,emotion,confused
deenuova,side,emotion,cry
deenuova,side,emotion,cunning
deenuova,side,emotion,curious
deenuova,side,emotion,dozing
deenuova,side,emotion,excited
deenuova,side,emotion,happy
deenuova,side,emotion,hmm
deenuova,side,emotion,irritated
deenuova,side,emotion,laugh
deenuova,side,emotion,neutral
deenuova,side,emotion,ooh
deenuova,side,emotion,rofl
deenuova,side,emotion,rollingeyes
deenuova,side,emotion,sad
deenuova,side,emotion,shocked
deenuova,side,emotion,shout
deenuova,side,emotion,smile
deenuova,side,emotion,smirk
deenuova,side,emotion,surprised
deenuova,side,emotion,tired
deenuova,side,emotion,wink
deenuova,side,emotion,worried
deenuova,side,pose,explaining
deenuova,side,pose,handsfolded
deenuova,side,pose,handsinpocket
deenuova,side,pose,holdingcoffee
deenuova,side,pose,holdinglaptop
deenuova,side,pose,holdingmobile
deenuova,side,pose,pointingright
deenuova,side,pose,pointingup
deenuova,side,pose,readingpaper
deenuova,side,pose,rightturn
deenuova,side,pose,shrug
deenuova,sitting,emotion,afraid
deenuova,sitting,emotion,angry
deenuova,sitting,emotion,confused
deenuova,sitting,emotion,cry
deenuova,sitting,emotion,cunning
deenuova,sitting,emotion,curious
deenuova,sitting,emotion,dozing
deenuova,sitting,emotion,excited
deenuova,sitting,emotion,happy
deenuova,sitting,emotion,hmm
deenuova,sitting,emotion,irritated
deenuova,sitting,emotion,laugh
deenuova,sitting,emotion,neutral
deenuova,sitting,emotion,ooh
deenuova,sitting,emotion,rofl
deenuova,sitting,emotion,rollingeyes
deenuova,sitting,emotion,sad
deenuova,sitting,emotion,shocked
deenuova,sitting,emotion,shout
deenuova,sitting,emotion,smile
deenuova,sitting,emotion,smirk
deenuova,sitting,emotion,surprised
deenuova,sitting,emotion,tired
deenuova,sitting,emotion,wink
deenuova,sitting,emotion,worried
deenuova,sitting,pose,ridingbicycle
deenuova,sitting,pose,ridingbike
deenuova,sitting,pose,sittingatdesk
deenuova,sitting,pose,sittingatdeskhandsspread
deenuova,sitting,pose,sittingatdeskholdingmobile
deenuova,sitting,pose,sittingonbeanbagholdinglaptop
deenuova,sitting,pose,sittingonbeanbagholdingmobile
deenuova,sitting,pose,sittingonthefloorexplaining
deenuova,sitting,pose,sittingonthefloorholdinglaptop
deenuova,sitting,pose,sittingonthefloorshrug
deenuova,straight,emotion,afraid
deenuova,straight,emotion,angry
deenuova,straight,emotion,annoyed
deenuova,straight,emotion,confused
deenuova,straight,emotion,cry
deenuova,straight,emotion,cryingloudly
deenuova,straight,emotion,cunning
deenuova,straight,emotion,curious
deenuova,straight,emotion,dozing
deenuova,straight,emotion,excited
deenuova,straight,emotion,hmm
deenuova,straight,emotion,irritated
deenuova,straight,emotion,laugh
deenuova,straight,emotion,lookingdown
deenuova,straight,emotion,lookingleft
deenuova,straight,emotion,lookingright
deenuova,straight,emotion,lookingup
deenuova,straight,emotion,neutral
deenuova,straight,emotion,ooh
deenuova,straight,emotion,rofl
deenuova,straight,emotion,rollingeyes
deenuova,straight,emotion,sad
deenuova,straight,emotion,shocked
deenuova,straight,emotion,shout
deenuova,straight,emotion,smile
deenuova,straight,emotion,smirk
deenuova,straight,emotion,surprised
deenuova,straight,emotion,tired
deenuova,straight,emotion,wink
deenuova,straight,emotion,worried
deenuova,straight,pose,handsfolded
deenuova,straight,pose,handsheldback
deenuova,straight,pose,handsinpocket
deenuova,straight,pose,handsonhip
deenuova,straight,pose,holdingbook
deenuova,straight,pose,holdingcoffee
deenuova,straight,pose,holdinglaptop
deenuova,straight,pose,holdingmobile
deenuova,straight,pose,holdingumbrella
deenuova,straight,pose,pointing45degree
deenuova,straight,pose,pointingright
deenuova,straight,pose,pointingup
deenuova,straight,pose,readingpaper
deenuova,straight,pose,shrug
deenuova,straight,pose,super
deenuova,straight,pose,thinking
deenuova,straight,pose,thumbsup
deenuova,straight,pose,yuhoo
dey,side,emotion,afraid
dey,side,emotion,angry
dey,side,emotion,cryingloudly
dey,side,emotion,curious
dey,side,emotion,dozing
dey,side,emotion,excited
dey,side,emotion,hmm
dey,side,emotion,laugh
dey,side,emotion,neutral
dey,side,emotion,ooh
dey,side,emotion,rofl
dey,side,emotion,rollingeyes
dey,side,emotion,sad
dey,side,emotion,shocked
dey,side,emotion,shout
dey,side,emotion,smile
dey,side,emotion,smirk
dey,side,emotion,surprised
dey,side,emotion,tired
dey,side,emotion,wink
dey,side,emotion,worried
dey,side,pose,handsfolded
dey,side,pose,handsinpocket
dey,side,pose,holdingcoffee
dey,side,pose,holdingmobile
dey,side,pose,leftturn
dey,side,pose,leftturnhandsfolded
dey,side,pose,pointingright
dey,side,pose,pointingup
dey,side,pose,readingpaper
dey,side,pose,thumbsup
dey,side,pose,yuhoo
dey,sitting,emotion,afraid
dey,sitting,emotion,angry
dey,sitting,emotion,cryingloudly
dey,sitting,emotion,curious
dey,sitting,emotion,dozing
dey,sitting,emotion,hmm
dey,sitting,emotion,laugh
dey,sitting,emotion,lookingdown
dey,sitting,emotion,neutral
dey,sitting,emotion,ooh
dey,sitting,emotion,rofl
dey,sitting,emotion,rollingeyes
dey,sitting,emotion,sad
dey,sitting,emotion,shocked
dey,sitting,emotion,shout
dey,sitting,emotion,smile
dey,sitting,emotion,smirk
dey,sitting,emotion,surprised
dey,sitting,emotion,tired
dey,sitting,emotion,wink
dey,sitting,emotion,worried
dey,sitting,pose,ridingbicycle
dey,sitting,pose,ridingbike
dey,sitting,pose,sittingatdesk
dey,sitting,pose,sittingatdeskhandsspread
dey,sitting,pose,sittingatdeskholdingmobile
dey,sitting,pose,sittingonbeanbagholdinglaptop
dey,sitting,pose,sittingonbeanbagholdingmobile
dey,sitting,pose,sittingonfloorexplaining
dey,sitting,pose,sittingonfloorholdinglaptop
dey,sitting,pose,sittingonfloorshrug
dey,straight,emotion,afraid
dey,straight,emotion,angry
dey,straight,emotion,confused
dey,straight,emotion,cryingloudly
dey,straight,emotion,cunning
dey,straight,emotion,curious
dey,straight,emotion,dozing
dey,straight,emotion,excited
dey,straight,emotion,hmm
dey,straight,emotion,irritated
dey,straight,emotion,laugh
dey,straight,emotion,lookingdown
dey,straight,emotion,lookingright
dey,straight,emotion,neutral
dey,straight,emotion,ooh
dey,straight,emotion,rofl
dey,straight,emotion,rollingeyes
dey,straight,emotion,sad
dey,straight,emotion,shocked
dey,straight,emotion,shout
dey,straight,emotion,smile
dey,straight,emotion,smirk
dey,straight,emotion,surprised
dey,straight,emotion,tired
dey,straight,emotion,wink
dey,straight,emotion,worried
dey,straight,pose,angry
dey,straight,pose,handsfolded
dey,straight,pose,handsinpocket
dey,straight,pose,handsonhip
dey,straight,pose,holdingbook
dey,straight,pose,holdingcoffee
dey,straight,pose,holdinglaptop
dey,straight,pose,holdingmobile
dey,straight,pose,holdingumbrella
dey,straight,pose,pointingright
dey,straight,pose,pointingup
dey,straight,pose,readingpaper
dey,straight,pose,shrug
dey,straight,pose,super
dey,straight,pose,thinking
dey,straight,pose,thumbsup
dey,straight,pose,yuhoo
deynuovo,side,emotion,afraid
deynuovo,side,emotion,angry
